canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2018,MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--1.wav,636.4563614
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2014,MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--1.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--1.wav,738.0347855
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2015,MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--1.midi,2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--1.wav,711.303125
Johann Sebastian Bach,"Duet in E Minor, BWV 802",train,2009,MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_03_WAV.midi,2009/MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_03_WAV.wav,131.8348041
Johann Sebastian Bach,"Duet in G, BWV 804",train,2009,MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_04_WAV.wav,125.1855052
Johann Sebastian Bach,"English Suite No. 2  in A Minor, BWV 807, I. Prelude",train,2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--1.midi,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--1.wav,285.8010417
Johann Sebastian Bach,"English Suite in A Minor, BWV 807",train,2018,MIDI-Unprocessed_Recital5-7_MID--AUDIO_06_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_06_R1_2018_wav--1.wav,1324.778323
Johann Sebastian Bach,"English Suite in A Minor, BWV 807",train,2013,ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_08_R3_2013_wav--2.midi,2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_08_R3_2013_wav--2.wav,821.3426616
Johann Sebastian Bach,"English Suite no. 3 in G Minor, Prelude",train,2008,MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--1.midi,2008/MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--1.wav,168.8620106
Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.wav,968.256759
Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.wav,792.520098
Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_05_Track05_wav.midi,2004/MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_05_Track05_wav.wav,130.6075207
Johann Sebastian Bach,"Italian Concerto in F Major, BWV 971 (Complete)",train,2014,MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_18_R1_2014_wav--1.midi,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_18_R1_2014_wav--1.wav,784.8589908
Johann Sebastian Bach,"Italian Concerto, BWV 971",train,2018,MIDI-Unprocessed_Recital13-15_MID--AUDIO_14_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_14_R1_2018_wav--1.wav,732.7890642
Johann Sebastian Bach,"Italian Concerto, BWV 971 (Complete)",train,2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--1.midi,2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--1.wav,771.034375
